date,unique_attackers,unique_victims,formatted_date
2022-01-01,170,110,Jan-2022
2022-01-02,185,122,Jan-2022
2022-01-03,258,350,Jan-2022
2022-01-04,230,191,Jan-2022
2022-01-05,651,530,Jan-2022
2022-01-06,300,364,Jan-2022
2022-01-07,364,355,Jan-2022
2022-01-08,251,370,Jan-2022
2022-01-09,158,203,Jan-2022
2022-01-10,266,308,Jan-2022
2022-01-11,515,2162,Jan-2022
2022-01-12,331,461,Jan-2022
2022-01-13,501,508,Jan-2022
2022-01-14,450,500,Jan-2022
2022-01-15,347,358,Jan-2022
2022-01-16,261,321,Jan-2022
2022-01-17,377,398,Jan-2022
2022-01-18,431,532,Jan-2022
2022-01-19,579,961,Jan-2022
2022-01-20,971,689,Jan-2022
2022-01-21,503,633,Jan-2022
2022-01-22,366,515,Jan-2022
2022-01-23,357,409,Jan-2022
2022-01-24,499,665,Jan-2022
2022-01-25,782,783,Jan-2022
2022-01-26,598,644,Jan-2022
2022-01-27,1047,735,Jan-2022
2022-01-28,536,704,Jan-2022
2022-01-29,401,467,Jan-2022
2022-01-30,345,398,Jan-2022
2022-01-31,478,524,Jan-2022
2022-02-01,682,969,Feb-2022
2022-02-02,422,435,Feb-2022
2022-02-03,629,2041,Feb-2022
2022-02-04,369,448,Feb-2022
2022-02-05,298,338,Feb-2022
2022-02-06,262,330,Feb-2022
2022-02-07,364,422,Feb-2022
2022-02-08,461,569,Feb-2022
2022-02-09,520,700,Feb-2022
2022-02-10,418,516,Feb-2022
2022-02-11,485,597,Feb-2022
2022-02-12,414,423,Feb-2022
2022-02-13,340,405,Feb-2022
2022-02-14,482,545,Feb-2022
2022-02-15,553,672,Feb-2022
2022-02-16,605,723,Feb-2022
2022-02-17,683,709,Feb-2022
2022-02-18,553,680,Feb-2022
2022-02-19,471,548,Feb-2022
2022-02-20,393,470,Feb-2022
2022-02-21,557,646,Feb-2022
2022-02-22,667,749,Feb-2022
2022-02-23,664,723,Feb-2022
2022-02-24,571,654,Feb-2022
2022-02-25,513,576,Feb-2022
2022-02-26,468,549,Feb-2022
2022-02-27,456,551,Feb-2022
2022-02-28,594,869,Feb-2022
2022-03-01,529,732,Mar-2022
2022-03-02,312,366,Mar-2022
2022-03-03,352,387,Mar-2022
2022-03-04,359,607,Mar-2022
2022-03-05,321,377,Mar-2022
2022-03-06,280,317,Mar-2022
2022-03-07,464,519,Mar-2022
2022-03-08,560,541,Mar-2022
2022-03-09,562,946,Mar-2022
2022-03-10,541,629,Mar-2022
2022-03-11,555,1048,Mar-2022
2022-03-12,432,603,Mar-2022
2022-03-13,339,404,Mar-2022
2022-03-14,538,664,Mar-2022
2022-03-15,508,644,Mar-2022
2022-03-16,567,1028,Mar-2022
2022-03-17,558,1052,Mar-2022
2022-03-18,512,651,Mar-2022
2022-03-19,489,487,Mar-2022
2022-03-20,343,375,Mar-2022
2022-03-21,449,533,Mar-2022
2022-03-22,534,691,Mar-2022
2022-03-23,542,838,Mar-2022
2022-03-24,543,569,Mar-2022
2022-03-25,482,540,Mar-2022
2022-03-26,398,429,Mar-2022
2022-03-27,368,406,Mar-2022
2022-03-28,530,553,Mar-2022
2022-03-30,507,590,Mar-2022
2022-03-31,590,619,Mar-2022
2022-04-02,376,370,Apr-2022
2022-04-03,294,337,Apr-2022
2022-04-04,393,569,Apr-2022
2022-04-05,505,535,Apr-2022
2022-04-07,606,754,Apr-2022
2022-04-08,566,666,Apr-2022
